,rank,change,name,service,genre
5,6,(-1),리니지M,NCSOFT Corporation,롤플레잉
6,7,(-),바람의나라 연,NEXON Company,롤플레잉
7,8,(-),브롤스타즈,Supercell,액션
8,9,(-),리니지2M,NCSOFT Corporation,롤플레잉
9,10,(-),세븐나이츠2,Netmarble,롤플레잉
10,11,(-),전략적 팀 전투,"Riot Games, Inc",전략
11,12,(+2),카트라이더 러쉬플러스,NEXON Company,자동차 경주
12,13,(-1),피파 모바일,NEXON Company,스포츠
13,14,(-1),V4,NEXON Company,롤플레잉
14,15,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
15,16,(+2),메이플스토리M,NEXON Company,롤플레잉
16,17,(+7),좀비고등학교,AWESOMEPIECE,아케이드
17,18,(+1),삼국지 전략판,Qookka Games,전략
18,19,(-2),냥코 대전쟁,PONOS Corporation,캐주얼 게임
19,20,(-4),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
20,21,(+2),포켓몬고,"Niantic, Inc.",어드벤처
21,22,(+3),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
22,23,(-3),미르4,"Wemade Co., Ltd",롤플레잉
23,24,(+2),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
24,25,(-3),마이리틀포레스트,Gamepub,시뮬레이션
25,26,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
26,27,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
27,28,(+5),그랑사가,NPIXEL,롤플레잉
28,29,(+2),제5인격,X.D. Global,어드벤처
29,30,(-1),슬램덩크,DeNA HONG KONG LIMITED,스포츠
30,31,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
31,32,(+4),모두의마블,Netmarble,보드
32,33,(-12),퍼니싱:그레이 레이븐,"HK HERO ENTERTAINMENT CO., LIMITED",롤플레잉
33,34,(-2),트릭스터M,NCSOFT,롤플레잉
34,35,(+2),AFK 아레나,Lilith Games,롤플레잉
35,36,(-2),백야극광,PROXIMA BETA,롤플레잉
36,37,(+3),R2M,Webzen Inc.,롤플레잉
37,38,(-),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
38,39,(-4),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
39,40,(NEW),가디언 테일즈,Kakao Games Corp.,롤플레잉
0,1,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
1,2,(-),ROBLOX,Roblox Corporation,어드벤처
2,3,(-),제2의 나라,Netmarble,롤플레잉
3,4,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
4,5,(-),원신,miHoYo Limited,어드벤처
5,6,(-),리니지M,NCSOFT Corporation,롤플레잉
6,7,(-),바람의나라 연,NEXON Company,롤플레잉
7,8,(-),브롤스타즈,Supercell,액션
8,9,(+1),세븐나이츠2,Netmarble,롤플레잉
9,10,(-1),리니지2M,NCSOFT Corporation,롤플레잉
10,11,(+1),카트라이더 러쉬플러스,NEXON Company,자동차 경주
11,12,(-1),전략적 팀 전투,"Riot Games, Inc",전략
12,13,(NEW),드래곤블러드,"Supertree Co., Ltd.",롤플레잉
13,14,(NEW),코노스바 모바일 - 판타스틱 데이즈,NEXON Company,롤플레잉
14,15,(-2),피파 모바일,NEXON Company,스포츠
15,16,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
16,17,(-),좀비고등학교,AWESOMEPIECE,아케이드
17,18,(-4),V4,NEXON Company,롤플레잉
18,19,(+1),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
19,20,(-2),삼국지 전략판,Qookka Games,전략
20,21,(+2),미르4,"Wemade Co., Ltd",롤플레잉
21,22,(-3),냥코 대전쟁,PONOS Corporation,캐주얼 게임
22,23,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
23,24,(-2),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
24,25,(-9),메이플스토리M,NEXON Company,롤플레잉
25,26,(-5),포켓몬고,"Niantic, Inc.",어드벤처
26,27,(-1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
27,28,(+4),모두의마블,Netmarble,보드
28,29,(-4),마이리틀포레스트,Gamepub,시뮬레이션
29,30,(-3),라이즈 오브 킹덤즈,Lilith Games,전략
30,31,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
31,32,(-4),그랑사가,NPIXEL,롤플레잉
32,33,(-4),제5인격,X.D. Global,어드벤처
33,34,(-4),슬램덩크,DeNA HONG KONG LIMITED,스포츠
34,35,(-),AFK 아레나,Lilith Games,롤플레잉
35,36,(-),백야극광,PROXIMA BETA,롤플레잉
36,37,(NEW),짐승친구들M,BigPictureTeam,롤플레잉
37,38,(-1),R2M,Webzen Inc.,롤플레잉
38,39,(-5),트릭스터M,NCSOFT,롤플레잉
39,40,(NEW),랜덤 다이스,royaldice,전략
0,1,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
1,2,(NEW),블레이드&소울2,NCSOFT,롤플레잉
2,3,(-1),ROBLOX,Roblox Corporation,어드벤처
3,4,(-1),제2의 나라,Netmarble,롤플레잉
4,5,(NEW),마블 퓨처 레볼루션,marvelfr,롤플레잉
5,6,(-2),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
6,7,(-2),원신,miHoYo Limited,어드벤처
7,8,(-1),바람의나라 연,NEXON Company,롤플레잉
8,9,(-3),리니지M,NCSOFT Corporation,롤플레잉
9,10,(-2),브롤스타즈,Supercell,액션
10,11,(+3),코노스바 모바일 - 판타스틱 데이즈,NEXON Company,롤플레잉
11,12,(-3),세븐나이츠2,Netmarble,롤플레잉
12,13,(-3),리니지2M,NCSOFT Corporation,롤플레잉
13,14,(-1),드래곤블러드,"Supertree Co., Ltd.",롤플레잉
14,15,(-4),카트라이더 러쉬플러스,NEXON Company,자동차 경주
15,16,(-4),전략적 팀 전투,"Riot Games, Inc",전략
16,17,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
17,18,(+3),미르4,"Wemade Co., Ltd",롤플레잉
18,19,(+1),좀비고등학교,AWESOMEPIECE,아케이드
19,20,(+5),메이플스토리M,NEXON Company,롤플레잉
20,21,(-6),피파 모바일,NEXON Company,스포츠
21,22,(-4),V4,NEXON Company,롤플레잉
22,23,(-3),삼국지 전략판,Qookka Games,전략
23,24,(-5),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
24,25,(-3),냥코 대전쟁,PONOS Corporation,캐주얼 게임
25,26,(-12),R2M,Webzen Inc.,롤플레잉
26,27,(-4),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
27,28,(-),모두의마블,Netmarble,보드
28,29,(-3),포켓몬고,"Niantic, Inc.",어드벤처
29,30,(-6),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
30,31,(-4),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
31,32,(-2),라이즈 오브 킹덤즈,Lilith Games,전략
32,33,(-4),마이리틀포레스트,Gamepub,시뮬레이션
33,34,(-2),그랑사가,NPIXEL,롤플레잉
34,35,(-1),슬램덩크,DeNA HONG KONG LIMITED,스포츠
35,36,(-3),제5인격,X.D. Global,어드벤처
36,37,(-6),배틀그라운드 모바일,PUBG CORPORATION,액션
37,38,(-1),짐승친구들M,BigPictureTeam,롤플레잉
38,39,(-4),AFK 아레나,Lilith Games,롤플레잉
39,40,(-4),백야극광,PROXIMA BETA,롤플레잉
0,1,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
1,2,(-),블레이드&소울2,NCSOFT,롤플레잉
2,3,(-),ROBLOX,Roblox Corporation,어드벤처
3,4,(+1),마블 퓨처 레볼루션,Netmarble,롤플레잉
4,5,(-1),제2의 나라,Netmarble,롤플레잉
5,6,(+1),원신,miHoYo Limited,어드벤처
6,7,(-1),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
7,8,(-),바람의나라 연,NEXON Company,롤플레잉
8,9,(-),리니지M,NCSOFT Corporation,롤플레잉
9,10,(-),브롤스타즈,Supercell,액션
10,11,(-),코노스바 모바일 - 판타스틱 데이즈,NEXON Company,롤플레잉
11,12,(-),세븐나이츠2,Netmarble,롤플레잉
12,13,(-),리니지2M,NCSOFT Corporation,롤플레잉
13,14,(-),드래곤블러드,"Supertree Co., Ltd.",롤플레잉
14,15,(+3),미르4,"Wemade Co., Ltd",롤플레잉
15,16,(-1),카트라이더 러쉬플러스,NEXON Company,자동차 경주
16,17,(-1),전략적 팀 전투,"Riot Games, Inc",전략
17,18,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
18,19,(+3),V4,NEXON Company,롤플레잉
19,20,(-1),좀비고등학교,AWESOMEPIECE,아케이드
20,21,(+2),삼국지 전략판,Qookka Games,전략
21,22,(-2),메이플스토리M,NEXON Company,롤플레잉
22,23,(-2),피파 모바일,NEXON Company,스포츠
23,24,(-),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
24,25,(+1),R2M,Webzen Inc.,롤플레잉
25,26,(-1),냥코 대전쟁,PONOS Corporation,캐주얼 게임
26,27,(+1),모두의마블,Netmarble,보드
27,28,(+1),포켓몬고,"Niantic, Inc.",어드벤처
28,29,(-2),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
29,30,(-),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
30,31,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
